feature	coef
model_Sterling Acterra	19744.12344
model_sport	14636.19966
model_sierra 3500	14588.98831
model_Hino 268	13863.41308
model_cc4500	9732.327305
model_gx	9388.174512
model_f-250 super duty lariat cre	9285.340442
model_Maserati Levante	9065.478456
model_fuso fh211	8912.625441
model_4500 lcf gas	8663.227632
model_sierra 2500hd denali	7869.275005
model_x6	7863.802616
model_super duty f-550 drw	7730.925658
model_transit cutaway	7634.21355
model_charger limousine	7232.636932
model_firebird trans am ws6	7101.437639
model_gladiator	6947.198975
model_cls	6686.398456
model_f250 super duty 4x4	6429.031019
model_tundra crewmax sr5 pickup	6420.893974
model_super duty f-250 srw	6405.84448
model_corvette grand sport	6342.637461
model_civic type r	6293.388784
model_maxima	6222.963298
model_1500 yukon slt	6064.333172
model_f150 supercrew cab xl	6026.660994
model_civic del sol si	5839.808188
model_Blue Bird All American	5833.04129
model_f250 sd xlt	5718.471016
model_wrangler unlimited rubicon	5685.526997
model_4500	5610.236055
model_s10 pickup	5546.969518
model_silverado 3500hd	5391.519434
model_tlx	5339.345666
model_5500	5262.752306
model_370z nismo coupe 2d	5247.353544
cylinders_4 cylinders	5139.48147
model_qx 50 luxe	5089.725634
model_4runner 4wd	5048.454532
model_mdx sh-awd w/technology	5017.758083
model_3500 big horn	4990.78809
model_silverado 2500 hd ltz	4989.78723
model_lesabre	4979.218095
model_q60	4892.4391
model_s60 t8 r-design sedan 4d	4872.226502
model_f-250 super duty	4766.977318
model_HUMMER H2	4696.597601
model_titan xd cummins platinum	4645.956882
model_xt4 sport suv 4d	4641.277559
model_jetta sel	4624.951654
model_s60 t6 r-design sedan 4d	4613.609653
model_1987 Saab 900 Turbo	4583.402499
model_z4 sdrive35is roadster 2d	4393.22013
model_spectra ex	4377.488905
model_300m	3958.987461
model_f150 supercrew cab xlt	3908.940333
model_f350 super duty	3873.27268
manufacturer_gmc	3835.909514
model_fuso fe145	3834.897967
model_s60 t6 inscription sedan	3830.822574
model_accord sedan	3818.024616
